objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Cosmic Encounter: Cosmic Dominion","153971","0","1","0","1","0","0","0","0","0","0","0","1","","","","","","39104490","6.83121","8.43064","3","0","6004","thing","Cosmic Encounter: Cosmic Dominion","3","5","60","60","60","2014","4,5","5","8+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Cosmic Encounter: Cosmic Eons","206366","0","1","0","1","0","0","0","0","0","0","0","1","","","","","","39123853","6.12368","8.33662","3.1667","0","2837","thing","Cosmic Encounter: Cosmic Eons","3","8","120","120","60","2016","4,5,6,7","7","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Cosmic Encounter: Cosmic Incursion","61001","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","38788528","7.31125","8.21653","2.6765","0","10907","thing","Cosmic Encounter: Cosmic Incursion","3","6","60","60","60","2010","4,5,6","5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Cosmic Encounter: Cosmic Storm","143760","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","38738356","6.43469","7.94702","3.1053","0","4535","thing","Cosmic Encounter: Cosmic Storm","3","8","60","60","60","2013","4,5,6","5","8+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Coup","131357","8","8","0","1","0","0","0","0","0","0","0","3","","","","","","26619072","6.87687","7.00496","1.408","506","59402","thing","Coup","2","6","15","15","15","2012","3,4,5,6","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Crew: Flight to the ISS","307204","0","","0","1","0","0","0","0","0","0","0","3","","Got it in Spielbox","","","","77370340","5.56614","7.78889","2","0","547","thing","The Crew: Flight to the ISS","2","5","20","20","20","2020","2,3,4","3,4","10+","","","","","","","expansion","","","","","","","","","","","","","","",""
"The Crew: The Quest for Planet Nine","284083","9","49","0","1","0","0","0","0","0","0","0","3","","Outland","","","","73083696","7.75355","8.01901","1.994","40","31835","thing","The Crew: The Quest for Planet Nine","2","5","20","20","20","2019","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Crunch: The Game for Utter Bankers","40871","7","2","0","1","0","0","0","0","0","0","0","1","","","","","","26697448","5.4962","5.60251","1.7632","17253","801","thing","Crunch: The Game for Utter Bankers","2","4","45","45","45","2009","2,3,4","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Cry Havoc","192457","8","1","0","1","0","0","0","0","0","0","0","1","","","","","","47158779","6.80734","7.21227","3.2831","573","9514","thing","Cry Havoc","2","4","120","120","60","2016","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Cry Havoc: Aftermath","210697","0","","0","1","0","0","0","0","0","0","0","3","","","","","","51934795","5.80766","7.83736","3.25","0","1860","thing","Cry Havoc: Aftermath","2","4","120","120","60","2017","2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Cry Havoc: New Orders","211164","0","","0","1","0","0","0","0","0","0","0","1","","","","","","53685631","5.58465","7.16592","2.5","0","668","thing","Cry Havoc: New Orders","2","4","0","0","0","2016","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Cry Havoc: Tactic & Sabotage Crystals","269747","0","","0","1","0","0","0","0","0","1","0","1","","","","","","59718793","0","7.45","0","0","68","thing","Cry Havoc: Tactic & Sabotage Crystals","2","4","120","120","60","2018","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Crystal Clans","228133","0","","0","1","0","0","0","1","0","0","0","3","","","","","","51688301","6.00532","7.05393","2.65","2407","2035","thing","Crystal Clans","2","2","60","60","30","2018","2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Cthulhu Fluxx","122159","7","6","0","1","0","0","0","0","0","0","0","3","","","","","","26579415","5.83152","6.09968","1.4867","3400","7192","thing","Cthulhu Fluxx","2","6","30","30","5","2012","2,3,4,5,6","4,5","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Cult Classic","148230","8","3","0","1","0","0","0","0","0","0","0","3","","","","","","26617874","0","5.59375","2","0","50","thing","Cult Classic","2","6","45","45","45","2013","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Cut the Rope: The Card Game","167589","0","","0","1","0","0","0","0","0","0","0","1","","","","","","36284332","5.48871","5.15109","1","18031","64","thing","Cut the Rope: The Card Game","2","8","15","15","15","2014","","","5–12","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dale of Merchants 2","191597","0","","0","1","0","0","0","0","0","0","0","1","","","","","","37293467","6.422","7.34291","2.0556","1151","4099","thing","Dale of Merchants 2","2","4","30","30","30","2016","2,3,4","2,3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dead Man's Draw","149155","0","6","0","1","0","0","0","0","0","0","0","1","","","","","","33375036","6.45772","6.85262","1.3509","1095","7524","thing","Dead Man's Draw","2","4","15","15","10","2015","2,3,4","","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dead of Winter: A Crossroads Game","150376","0","","0","1","0","0","0","0","0","0","0","3","","","","","","41401491","7.42616","7.57377","3.0164","122","53413","thing","Dead of Winter: A Crossroads Game","2","5","120","120","60","2014","3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Deadwood 1876","245197","8","4","0","1","0","0","0","0","0","0","0","1","","","","","","50089631","5.91731","6.65431","1.8421","2838","3872","thing","Deadwood 1876","2","9","40","40","20","2018","4,5,6,7,8,9","5,6,7","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Debatable","227026","0","","0","1","0","0","0","0","0","0","0","3","","","","","","47334852","5.53347","6.50567","1","11805","206","thing","Debatable","3","16","120","120","30","2017","4,5,6,7,8,9,10,11,12,13,14,15,16","5,6,7,8,10,12,14,16","14+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Deception: Murder in Hong Kong","156129","0","","0","1","0","0","0","0","0","0","0","1","","","","","","46937178","7.28539","7.49702","1.5966","192","23845","thing","Deception: Murder in Hong Kong","4","12","20","20","20","2014","5,6,7,8,9,10,11,12","6,7,8","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Deckscape: Behind the Curtain","267735","6","","0","1","0","0","0","1","0","0","0","3","","","","","","62472319","5.92296","7.01807","2.1429","2816","1391","thing","Deckscape: Behind the Curtain","1","6","90","90","30","2019","1,2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Deckscape: Heist in Venice","245045","0","","0","1","0","0","0","1","0","0","0","3","","","","","","55241830","6.08926","6.78707","1.7619","2080","2531","thing","Deckscape: Heist in Venice","1","6","90","90","30","2018","1,2,3,4,5,6","6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Deckscape: Test Time","218311","7","","0","1","0","0","0","0","0","0","0","1","","","","","","53759526","6.18061","6.71619","1.6098","1772","3348","thing","Deckscape: Test Time","1","6","90","90","30","2017","1,2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Deckscape: The Fate of London","230498","0","","0","1","0","0","0","1","0","0","0","3","","","","","","56252980","5.8815","6.28249","2.0833","3052","2758","thing","Deckscape: The Fate of London","1","6","60","60","60","2017","1,2,3,4","2,3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Deckscape: The Mystery of Eldorado","258451","0","","0","1","0","0","0","1","0","0","0","3","","","","","","56252977","5.89954","6.59151","1.8571","2935","1861","thing","Deckscape: The Mystery of Eldorado","1","6","90","90","30","2018","1,2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Decrypto","225694","0","","0","1","0","0","0","0","0","0","0","3","","","","","","53619855","7.49075","7.79257","1.825","102","19009","thing","Decrypto","3","8","45","45","15","2018","4,5,6,7,8","4,6","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Detective:  L.A. Crimes","264005","0","","0","1","0","0","0","0","0","0","0","1","","","","","","59263169","6.24381","7.99731","3.2308","0","3390","thing","Detective:  L.A. Crimes","1","5","180","180","120","2019","1,2,3,4,5","2,3","16+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Detective: A Modern Crime Board Game","223321","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","51934757","7.36209","7.88701","2.7161","152","15706","thing","Detective: A Modern Crime Board Game","1","5","180","180","120","2018","1,2,3,4","","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Detective: A Modern Crime Board Game – Season One","293531","0","","0","1","0","0","0","0","0","0","0","3","","Outland","","","","75117369","5.83104","7.2494","2.0833","3403","1558","thing","Detective: A Modern Crime Board Game – Season One","1","5","120","120","90","2020","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Detective: Signature Series – Dig Deeper","299442","0","","0","1","0","0","0","0","0","0","0","1","","","","","","73083707","5.7641","7.58526","2.6","0","1343","thing","Detective: Signature Series – Dig Deeper","1","5","120","120","90","2020","1,2,3,4,5","3","14+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Dice Forge","194594","8","5","0","1","0","0","0","0","0","0","0","1","","","","","","43574040","7.06175","7.28529","1.9652","337","22479","thing","Dice Forge","2","4","45","45","45","2017","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dice Forge: Rebellion","258003","0","","0","1","0","0","0","0","0","0","0","3","","","","","","55776474","6.29769","7.73618","2.3846","0","4543","thing","Dice Forge: Rebellion","2","4","40","40","40","2019","2,3,4","3","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Dice Throne Adventures","281332","0","","0","1","0","0","0","0","0","0","0","3","","Kickstarter","","","","69024329","6.24715","8.63842","2.5","0","2484","thing","Dice Throne Adventures","1","4","120","120","90","2020","1,2,3,4","1,2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Dice Throne Adventures: Promo Pack","291819","0","","0","1","0","0","0","0","0","0","0","3","","","","","","69024335","5.56595","8.57806","0","0","758","thing","Dice Throne Adventures: Promo Pack","1","4","120","120","90","2020","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Dice Throne:  Season Two –  Battle Chest Champion Edition","268191","0","","0","1","0","0","0","0","0","0","0","1","","","","","","59451362","5.77387","8.52152","2","0","627","thing","Dice Throne:  Season Two –  Battle Chest Champion Edition","2","6","40","40","20","2018","2,3,4","2,3,4","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dice Throne: Season One ReRolled","291794","0","","0","1","0","0","0","0","0","0","0","3","","Kickstarter","","","","69024331","6.20702","8.58369","1.8333","1693","2040","thing","Dice Throne: Season One ReRolled","2","6","40","40","20","2020","2,3,4,6","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dice Throne: Season One Rerolled – Promo Pack","291817","0","","0","1","0","0","0","0","0","0","0","3","","Kickstarter","","","","69024338","5.58237","8.26098","0","0","776","thing","Dice Throne: Season One Rerolled – Promo Pack","2","6","40","40","20","2020","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Dice Throne: Season Two Promo Card Set","266395","0","","0","1","0","0","0","0","0","0","0","3","","Kickstarter","","","","69024333","5.59263","8.03708","2","0","787","thing","Dice Throne: Season Two Promo Card Set","2","6","40","40","20","2018","","","10+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Dinosaur Island","221194","0","","0","1","0","0","0","0","0","0","0","1","","","","","","53505077","7.39954","7.72442","3.0379","135","19350","thing","Dinosaur Island","1","4","120","120","90","2017","1,2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dinosaur Island: Totally Liquid","248591","0","","0","1","0","0","0","0","0","0","0","1","","","","","","53505080","6.76217","8.07516","3.3103","0","8409","thing","Dinosaur Island: Totally Liquid","1","5","120","120","90","2018","1,2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Discount Salmon","146597","7","6","0","1","0","0","0","0","0","0","0","3","","","","","","26845709","5.50167","5.65034","1","16566","306","thing","Discount Salmon","2","5","10","10","10","2013","3,4","","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dixit","39856","7","7","0","1","0","0","0","0","0","0","0","2","","","","","","26694256","7.14798","7.25561","1.2176","279","70003","thing","Dixit","3","6","30","30","30","2008","4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Doctor Who Fluxx","235365","7","3","0","1","0","0","0","0","0","0","0","1","","","","","","45482171","5.76322","6.82541","1.8","4010","1574","thing","Doctor Who Fluxx","2","6","30","30","5","2017","2,3,4,5,6","","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dominion","36218","7","1","0","1","0","0","0","0","0","0","0","1","","","","","","32118910","7.5111","7.61905","2.3566","98","101990","thing","Dominion","2","4","30","30","30","2008","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Draco Magi","142262","0","","0","1","0","0","0","0","0","0","0","3","","","","","","26597188","5.72767","6.3332","2.0588","4438","2093","thing","Draco Magi","2","2","30","30","30","2014","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dragon Castle","232219","7","1","0","1","0","0","0","0","0","0","0","1","","","","","","46408818","6.80501","7.20502","1.9691","576","8487","thing","Dragon Castle","2","4","45","45","30","2017","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dream Catchers","230785","7","3","0","1","0","0","0","0","0","0","0","1","","","","","","46337472","5.59725","6.84614","2","7194","244","thing","Dream Catchers","2","4","35","35","25","2019","","","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dream Home","194880","7","3","0","1","0","0","0","0","0","0","0","2","","","","","","36882067","6.57054","6.91559","1.6692","907","8344","thing","Dream Home","2","4","30","30","30","2016","2,3,4","3,4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dream Home: 156 Sunny Street","232291","0","","0","1","0","0","0","0","0","0","0","1","","","","","","46311769","6.01216","7.30443","1.6667","0","2362","thing","Dream Home: 156 Sunny Street","1","6","30","30","30","2017","2,3,4,5,6","6","6+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Dream Home: 156 Sunny Street – Game Room","235056","0","","0","1","0","0","0","0","0","0","0","1","","","","","","46311770","0","7.18296","0","0","125","thing","Dream Home: 156 Sunny Street – Game Room","1","6","30","30","20","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Dream Home: Promo Tokens – Christmas Tree","215798","0","","0","1","0","0","0","0","0","0","0","1","","","","","","46311772","5.62306","7.00708","1.5","0","642","thing","Dream Home: Promo Tokens – Christmas Tree","2","4","30","30","20","2016","2","","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"The Dresden Files Cooperative Card Game","187273","0","","0","1","0","0","0","0","0","0","0","1","","","","","","44230732","6.23082","7.08074","2.1765","1613","3398","thing","The Dresden Files Cooperative Card Game","1","5","30","30","30","2017","1,2,3,4","","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The Dresden Files Cooperative Card Game: Expansion 1 – Fan Favorites","208019","0","","0","1","0","0","0","0","0","0","0","3","","","","","","47138012","5.71794","7.61696","3","0","1453","thing","The Dresden Files Cooperative Card Game: Expansion 1 – Fan Favorites","1","5","30","0","30","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"The Dresden Files Cooperative Card Game: Expansion 2 – Helping Hands","208020","0","","0","1","0","0","0","0","0","0","0","3","","","","","","47138007","5.71436","7.6445","3","0","1448","thing","The Dresden Files Cooperative Card Game: Expansion 2 – Helping Hands","1","5","30","0","30","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"The Dresden Files Cooperative Card Game: Expansion 3 – Wardens Attack","208021","0","","0","1","0","0","0","0","0","0","0","3","","","","","","47138015","5.69742","7.59362","3","0","1394","thing","The Dresden Files Cooperative Card Game: Expansion 3 – Wardens Attack","1","5","30","0","30","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"The Dresden Files Cooperative Card Game: Expansion 4 – Dead Ends","249860","0","","0","1","0","0","0","0","0","0","0","1","","","","","","56464010","5.58247","7.60308","3","0","639","thing","The Dresden Files Cooperative Card Game: Expansion 4 – Dead Ends","1","5","60","60","30","2018","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"The Dresden Files Cooperative Card Game: Expansion 5 – Winter Schemes","251818","0","","0","1","0","0","0","0","0","0","0","1","","","","","","56464015","5.59219","7.73931","3","0","631","thing","The Dresden Files Cooperative Card Game: Expansion 5 – Winter Schemes","1","5","30","30","30","2018","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"The Dresden Files Cooperative Card Game: Mouse & Variants","231123","0","","0","1","0","0","0","0","0","0","0","1","","","","","","47137925","5.61542","7.64907","3","0","745","thing","The Dresden Files Cooperative Card Game: Mouse & Variants","1","5","30","0","30","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"The Dresden Files Cooperative Card Game: Ra Crossover","231121","0","","0","1","0","0","0","0","0","0","0","1","","","","","","47137929","5.56842","7.22574","3","0","620","thing","The Dresden Files Cooperative Card Game: Ra Crossover","1","5","30","0","30","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Drinking Fluxx","211996","6","1","0","1","0","0","0","0","0","0","0","1","","","","","","47158913","5.55628","6.31545","1","9425","698","thing","Drinking Fluxx","2","6","40","40","10","2017","2,3,4,5,6","4","16+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"A Duel Betwixt Us","145943","7","1","0","1","0","0","0","0","0","0","0","3","","No good catchup or defence mechanics if your mines and weapons gets targeted by events","","","","26579440","5.46886","5.25115","1.6667","19227","531","thing","A Duel Betwixt Us","2","2","45","45","45","2014","2","2","","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Duelosaur Island","247236","8","1","0","1","0","0","0","0","0","0","0","1","","","","","","56563622","6.55131","7.21645","2.3462","943","6894","thing","Duelosaur Island","1","2","45","45","30","2018","1,2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeon Escape: A classic game of memory with a twist!","162556","0","","0","1","0","0","0","0","0","0","0","3","","","","","","26617596","0","5.70588","1.75","0","56","thing","Dungeon Escape: A classic game of memory with a twist!","2","4","10","10","10","2014","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeon Mayhem","260300","0","","0","1","0","0","0","0","0","0","0","3","","","","","","58393053","6.13641","6.98934","1.1176","1907","4017","thing","Dungeon Mayhem","2","4","10","10","10","2018","2,3,4","4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeon Roll","138788","6","2","0","1","0","0","0","0","0","0","0","3","","","","","","26579401","5.96752","6.11921","1.3341","2587","14520","thing","Dungeon Roll","1","4","15","15","15","2013","1,2,3","2","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeon Roll: Hero Booster Pack #1","139583","0","","0","1","0","0","0","0","0","0","0","3","","","","","","26579406","5.82424","6.42248","1.6222","0","3914","thing","Dungeon Roll: Hero Booster Pack #1","1","4","0","0","0","2013","1,2","1","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Dungeon Roll: Winter Heroes Pack","150233","0","","0","1","0","0","0","0","0","0","0","3","","","","","","26579403","5.59296","6.05535","1.4167","0","2119","thing","Dungeon Roll: Winter Heroes Pack","1","4","0","0","0","2014","2,3,4","3","5+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Eclipse","72125","0","","0","1","0","0","0","1","0","0","0","1","","","","","","40126840","7.70515","7.89213","3.6981","52","26729","thing","Eclipse","2","6","180","180","60","2011","2,3,4,5,6","4,6","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Eclipse: Second Dawn for the Galaxy","246900","10","2","3","1","0","0","0","0","0","0","0","3","","","","","","53505067","7.41504","8.80207","3.48","127","5360","thing","Eclipse: Second Dawn for the Galaxy","2","6","200","200","60","2020","2,3,4,5,6","4,6","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Eclipse: Second Dawn for the Galaxy – Galactic Events","305954","0","","0","1","0","0","0","0","0","0","0","3","","","","","","72691750","5.56392","8.17857","0","0","436","thing","Eclipse: Second Dawn for the Galaxy – Galactic Events","2","6","0","0","0","2020","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Eclipse: Second Dawn for the Galaxy – Minor Species","305950","0","","0","1","0","0","0","0","0","0","0","3","","","","","","72691743","5.57047","8.11702","2","0","430","thing","Eclipse: Second Dawn for the Galaxy – Minor Species","2","6","0","0","0","2020","2,3","2,3","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Eclipse: Second Dawn for the Galaxy – Rift Cannon","305955","0","","0","1","0","0","0","0","0","0","0","3","","","","","","72691749","5.57634","8.04808","0","0","435","thing","Eclipse: Second Dawn for the Galaxy – Rift Cannon","2","6","0","0","0","2020","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Eclipse: Second Dawn for the Galaxy – Supernova","294546","0","","0","1","0","0","0","0","0","0","0","3","","","","","","72691703","5.55445","8.10294","0","0","367","thing","Eclipse: Second Dawn for the Galaxy – Supernova","2","6","200","200","60","2019","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Eclipse: Second Dawn for the Galaxy – Worlds Afar Collection","303298","0","","0","1","0","0","0","0","0","0","0","1","","","","","","72383729","5.58961","8.58823","0","0","602","thing","Eclipse: Second Dawn for the Galaxy – Worlds Afar Collection","2","6","200","200","60","2020","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Eclipse: Ship Pack One","146690","0","","0","1","0","0","0","0","0","0","0","2","","","","","","40126845","6.45603","7.69046","3.1282","0","4543","thing","Eclipse: Ship Pack One","2","6","120","120","120","2013","2,3,4,5,6","","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Einstein: His Amazing Life and Incomparable Science","205185","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","38738303","5.75599","6.68256","1.5","4096","1055","thing","Einstein: His Amazing Life and Incomparable Science","2","4","45","45","15","2017","2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Elder Sign","100423","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","29566811","6.82532","6.98342","2.3482","552","35661","thing","Elder Sign","1","8","90","90","90","2011","1,2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Elder Sign: Gates of Arkham","166679","0","1","0","1","0","0","0","0","0","0","0","1","","","","","","31481114","6.85722","7.81857","2.5857","0","8738","thing","Elder Sign: Gates of Arkham","1","8","90","90","90","2015","1,2,3,4","2,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Elder Sign: Grave Consequences","198045","0","","0","1","0","0","0","0","0","0","0","3","","","","","","34396440","5.8332","7.27672","2.6667","0","2589","thing","Elder Sign: Grave Consequences","1","8","90","90","90","2016","1,2,3,4","1","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Elder Sign: Omens of Ice","189807","0","","0","1","0","0","0","0","0","0","0","1","","","","","","33335850","6.27643","7.65782","2.5385","0","5033","thing","Elder Sign: Omens of Ice","1","8","90","90","60","2016","1,2,3,4","2","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Elder Sign: Omens of the Deep","212572","0","","0","1","0","0","0","0","0","0","0","1","","","","","","53225096","6.10765","7.79613","3","0","3731","thing","Elder Sign: Omens of the Deep","1","8","90","90","90","2017","1,2,3,4","1,2,3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Elder Sign: Omens of the Pharaoh","237226","0","","0","1","0","0","0","0","0","0","0","1","","","","","","52950544","6.0018","8.07651","2.6667","0","2932","thing","Elder Sign: Omens of the Pharaoh","1","8","120","120","60","2018","1,2,3,4","1,2,3","14+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Elder Sign: Unseen Forces","137479","0","","0","1","0","0","0","0","0","0","0","2","","","","","","33335855","6.92765","7.63367","2.4297","0","11409","thing","Elder Sign: Unseen Forces","1","8","90","90","90","2013","1,2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Eldritch Horror","146021","9","5","0","1","0","0","0","0","0","0","0","2","","","","","","29420524","7.57303","7.80504","3.319","82","43340","thing","Eldritch Horror","1","8","240","240","120","2013","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Eldritch Horror: Cities in Ruin","220913","0","","0","1","0","0","0","0","0","0","0","1","","","","","","54015947","6.75443","8.50706","3","0","6317","thing","Eldritch Horror: Cities in Ruin","1","8","240","240","120","2017","1,2,3,4,5","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Eldritch Horror: Forsaken Lore","154842","0","2","0","1","0","0","0","0","0","0","0","1","","","","","","29420931","7.57346","8.28457","3.1739","0","17844","thing","Eldritch Horror: Forsaken Lore","1","8","180","180","180","2014","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Eldritch Horror: Masks of Nyarlathotep","236930","0","","0","1","0","0","0","1","0","0","0","3","","","","","","50116381","6.20733","7.98297","2.8","0","3912","thing","Eldritch Horror: Masks of Nyarlathotep","1","8","240","240","120","2018","1,2,3,4","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
